buyer_id,buyer_time,buyer_level,buyer_addr,buyer_device,comment
梁***樾,2015-05-08 12:01 购买,钻石会员,安徽,来自京东iPhone客户端,很精致的包装，看着好有爱
h***3,2015-03-31 16:58 购买,金牌会员,辽宁,来自京东Android客户端,挺好。真快‘京东给力，家里几乎都在京东买
g***6,2015-05-03 20:19 购买,银牌会员,安徽,,不错不错不错不错不错
j***3,2015-05-08 12:30 购买,银牌会员,安徽,来自京东iPhone客户端,非常棒的书，是我想要的那种?
j***0,2014-12-10 21:07 购买,银牌会员,浙江,来自京东iPhone客户端,质量一般，印刷不太好
b***b,2015-04-22 14:42 购买,金牌会员,北京,来自京东iPhone客户端,还没看，应该很不错，很期待阅读
小***7,2015-05-03 12:44 购买,金牌会员,四川,来自京东iPhone客户端,非常不错 喜欢喜欢喜欢
j***6,2015-03-08 16:16 购买,金牌会员,河南,来自京东Android客户端,特别不错，女人应该看的书
z***1,2015-03-20 08:14 购买,银牌会员,陕西,来自京东Android客户端,感觉还不错，给个好评了
c***3,2015-04-28 19:58 购买,钻石会员,重庆,,到手，不错的啦，还不错
牛奋weiss,2015-04-28 21:11 购买,金牌会员,广东,来自微信购物,正版，正品，还有油墨清香，不错不错！
l***锴,2015-04-02 17:48 购买,银牌会员,广东,来自京东Android客户端,給儿子买的，熏陶思想，培养阅读兴趣
prosche_lucky,2015-05-07 20:36 购买,银牌会员,辽宁,来自京东iPhone客户端,书都坏的，书都坏的，书都坏的，
jd_138124sip,2015-05-07 12:35 购买,铜牌会员,广东,,和书店一样正版，希望在包装外面加个箱子就更好，有一套书在运输时磨破.
j***2,2015-02-06 08:59 购买,铜牌会员,浙江,来自京东iPhone客户端,给妹子买的，不错。她很喜欢！
w***a,2015-05-02 21:47 购买,钻石会员,福建,来自京东Android客户端,不错，稍微有点厚，看着还是可以的。
K***7,2015-05-07 12:50 购买,银牌会员,山东,来自京东Android客户端,很好，纸质很好，还有包装
j***4,2015-05-01 18:41 购买,金牌会员,广西,,经典名著值得收藏
j***9,2015-05-06 16:47 购买,钻石会员,上海,来自京东iPhone客户端,1234567890
l***4,2015-04-30 17:24 购买,银牌会员,山西,,真的很不错，应刷，纸张都不错
S***h,2015-05-05 20:23 购买,钻石会员,四川,来自京东iPhone客户端,很棒 还会再次购买 哈哈哈
l***u,2015-04-24 09:22 购买,银牌会员,陕西,,挺喜欢这版的，送给朋友的，他很喜欢。
身***六,2015-01-12 10:14 购买,钻石会员,四川,,名著，值得反复阅读。
流***印,2015-05-06 09:43 购买,钻石会员,北京,,中国古典文学中的经典，值得阅读，收藏！
紫***6,2014-11-12 23:17 购买,金牌会员,北京,,四大名著到手了，人民出版社没什么说的，印刷质量不错
c***5,2015-05-05 19:29 购买,金牌会员,福建,来自京东iPhone客户端,书本包装很好，京东快递员的服务很好！
s***z,2015-01-29 11:52 购买,银牌会员,广东,,很喜欢。值得收藏
平***大,2015-05-04 21:55 购买,金牌会员,江苏,来自京东Android客户端,印刷和包装看上去都还赏心悦目，正在陆续的阅读和欣赏中！
l***4,2015-04-24 14:55 购买,钻石会员,广东,,宝贝很不错，物流也很给力！
d***w,2015-05-06 19:04 购买,钻石会员,浙江,来自京东iPhone客户端,还不错啦！！！！！！！！
电焊,2015-04-18 21:30 购买,银牌会员,江苏,,速度给力，态度给力。书也给力
z***p,2015-03-09 10:19 购买,钻石会员,北京,来自京东iPhone客户端,还不错，看着很舒服值得购买的经典
象***涯,2015-04-12 21:00 购买,银牌会员,北京,,很好的一本书，你值得拥有。
我***石,2015-05-02 18:03 购买,金牌会员,北京,来自京东Android客户端,内容还没看，质量很好
j***2,2015-05-06 20:19 购买,钻石会员,江苏,来自京东Android客户端,满意！！！！！！！！
168-fish,2015-04-26 19:22 购买,银牌会员,广东,,很经典的书，值得一读
爱***7,2015-05-05 15:33 购买,金牌会员,江苏,来自京东Android客户端,正版，印刷质量好，收藏着慢看。
胡***2,2015-02-26 14:07 购买,钻石会员,湖北,来自京东Android客户端,很喜欢的书，下次继续光顾
o***u,2015-05-04 22:53 购买,钻石会员,辽宁,来自京东Android客户端,经典读物，老公很喜欢看，印刷还可以，快递给力
海***爸,2015-02-27 10:30 购买,钻石会员,福建,,正版图书，印刷清晰，性价比高，值得推荐！
j***0,2015-03-22 10:22 购买,铜牌会员,北京,来自京东iPhone客户端,很好……………………………
蝶***伤,2015-04-29 08:22 购买,钻石会员,广东,来自京东iPhone客户端,读户外活动今晚肯定觉得呢看完了
林***公,2015-05-04 00:25 购买,铜牌会员,陕西,来自京东Android客户端,好的很，好很好的很！！！！！！！！！！！
d***5,2015-03-24 17:02 购买,金牌会员,黑龙江,,买回来也不看，手就是贱。
岩***巴,2015-03-14 12:57 购买,钻石会员,重庆,,这个版的书质量很好，值得买
j***2,2015-03-27 22:20 购买,钻石会员,北京,来自京东iPhone客户端,现在的书，唉，都是为了写书写书
我***囧,2015-05-03 21:50 购买,钻石会员,四川,,红楼梦（套装上下册）红楼梦（套装上下册）红楼梦（套装上下册）红楼梦（套装上下册）红楼梦（套装上下册）
y***0,2015-04-25 00:23 购买,金牌会员,上海,,之前就留意这套了，特意买了两个版本不一样的，还没看到，等回家比较一下
Frankooo哦,2015-04-20 13:17 购买,钻石会员,北京,,质量一般。。。。。。。。。。。
森***节,2015-04-19 20:48 购买,金牌会员,河北,来自京东Android客户端,很不错书有比较重的味道
j***z,2015-03-07 23:54 购买,金牌会员,北京,来自京东Android客户端,送货速度快，书质量不错
苏***o,2015-04-18 09:26 购买,银牌会员,广东,来自京东Android客户端,女朋友突然想看这本书，就买了。。
j***f,2015-04-22 18:33 购买,钻石会员,河北,,.便宜....................
d***u,2015-04-30 14:34 购买,金牌会员,天津,,选人民文学出版社版本的绝对没错
m***x,2015-02-22 20:05 购买,铜牌会员,江西,,很好的一本书，包装无破损
曹***刀,2014-12-13 18:54 购买,钻石会员,山东,来自京东Android客户端,"经典。回归阅读，品味书香。
人生必读。"
j***0,2015-01-26 19:57 购买,金牌会员,北京,来自京东Android客户端,好好好好好好好好好好好好
f***f,2015-02-08 20:23 购买,钻石会员,北京,,惊动正版 热卖畅销 名家经典
三***的,2015-05-01 11:48 购买,银牌会员,广东,,很喜欢的书，日后定细嚼。
j***凯,2015-05-03 14:21 购买,金牌会员,上海,来自京东Android客户端,看过电视剧版红楼梦。感觉很有意思。经典之作。不过瘾在看一遍书本版的。
y***4,2015-04-29 15:48 购买,钻石会员,北京,,四大名著买齐了。。。。。
j***1,2015-05-01 11:18 购买,银牌会员,江苏,来自京东Android客户端,书厚，中国名著值得一看，要有点耐心哦！！！
聚***仪,2015-05-01 14:15 购买,钻石会员,四川,,还是给妹妹买来看的，书的质量很好，妹妹拿到后非常的喜欢
j***3,2015-05-02 14:56 购买,金牌会员,吉林,,送货快，名家经典，价格低
q***a,2015-02-04 22:22 购买,钻石会员,山东,,非常好的东西，是正品。
烤***8,2015-03-30 14:50 购买,钻石会员,北京,来自京东iPhone客户端,不错，活动很实惠哦。不错，活动很实惠哦。
e***4,2015-03-11 09:17 购买,钻石会员,江苏,来自京东Android客户端,国粹精品，发货快。收藏！
从***啊,2015-04-22 19:51 购买,银牌会员,陕西,,不错，挺好的，有优惠券很实惠
j***f,2015-04-23 12:32 购买,银牌会员,广东,,宝贝质量很好，物流小哥人也挺不错，赞一个
胖***e,2014-12-16 09:35 购买,银牌会员,四川,来自京东iPhone客户端,一直想把红楼梦看完，还不错，上集还没看完
小***头,2015-01-11 13:07 购买,金牌会员,云南,来自京东Android客户端,不错不同不错擦擦擦擦擦擦擦擦擦擦擦擦擦擦擦擦擦擦擦擦擦
y***p,2015-05-01 11:01 购买,金牌会员,浙江,来自京东Android客户端,好好好好好好好好好好
jd_131586iec,2015-02-04 17:11 购买,铜牌会员,四川,来自京东Android客户端,书是正版，但书的封面有点小瑕疵
1***w,2015-01-29 10:28 购买,钻石会员,四川,来自京东Android客户端,书不错，都是学校推荐读物。
l***n,2015-03-24 23:41 购买,金牌会员,陕西,来自京东Android客户端,文学爱好者要读一下！
超***6,2015-04-21 23:02 购买,金牌会员,甘肃,,红楼梦（套装上下册）红楼梦（套装上下册）
n***7,2015-04-27 12:36 购买,银牌会员,北京,来自京东iPhone客户端,恍恍惚惚呵呵呵呵好刚好合格
j***2,2015-05-01 08:20 购买,钻石会员,辽宁,来自京东iPhone客户端,一直就喜欢看红楼梦，这次买书好好看
谌***5,2015-03-20 16:41 购买,银牌会员,湖北,来自京东iPhone客户端,挺不错！
大***5,2015-04-30 16:28 购买,金牌会员,上海,来自京东iPhone客户端,书一看就是正品 非常不错 值得这个价钱。
涯***涯,2015-04-23 13:17 购买,金牌会员,江苏,来自京东Android客户端,收藏的，喜欢人民文学的书！
j***.,2015-01-18 19:17 购买,金牌会员,陕西,来自京东iPhone客户端,很好，值得推荐的一个版本！
j***d,2015-02-13 19:23 购买,金牌会员,北京,来自京东Android客户端,很经典，很经典，很经典
z***x,2015-03-12 22:36 购买,金牌会员,河南,来自京东Android客户端,给孩子看的，很满意了
爱因思念2014,2015-04-22 13:59 购买,钻石会员,山西,来自京东iPad客户端,很好，质量很好，装帧精美
jd_159924avl,2015-04-29 22:08 购买,银牌会员,广东,来自京东Android客户端,书很赞!老师介绍买的版本!物流更值一赞!
j***b,2015-04-21 22:53 购买,钻石会员,辽宁,来自京东iPhone客户端,还没看呢，不过外表还是不错的，质量好！
付***天,2015-04-27 19:59 购买,金牌会员,河北,来自京东iPhone客户端,好好好好，非常好，特别好，太好了，好好好好。
莲***啊,2015-04-22 21:38 购买,钻石会员,北京,,还没看，屯书中，等待假期重新看
j***a,2015-04-17 21:49 购买,金牌会员,吉林,来自京东iPhone客户端,书很厚，质量很好，发货依旧快。此版本值得珍藏。
小***乖,2015-04-24 13:38 购买,钻石会员,四川,来自京东Android客户端,京东图书正版，便宜又有保障，书也很棒！满分好评！
j***p,2015-04-24 15:54 购买,金牌会员,江苏,,"书版本挺好的,起码拿起来感觉比较好,虽然不是自己看,里面的注释也不错,因为生僻字比较多,一般都不会用到,注释有拼音"
黄***砚,2015-03-24 15:51 购买,金牌会员,江苏,,备注比较详细，很好地帮助理解古文内容和情节
j***n,2015-04-24 00:13 购买,钻石会员,北京,,孩子要买的，刚好有活动，读书好
我***K,2015-03-29 15:22 购买,银牌会员,河北,,孩子准备进入叛逆期了 买点这方面的书好]
火***哥,2015-04-07 22:37 购买,钻石会员,新疆,来自京东Android客户端,纸质不错，字迹清晰，就是不知道胶装的结实不，以前经常见这么厚的胶装从中间点开
j***5,2015-04-26 15:06 购买,金牌会员,内蒙古,,字有点小，不过不影响阅读，书很不错，值得阅读
j***7,2015-04-04 17:08 购买,金牌会员,江苏,来自京东Android客户端,方便快捷快递给力赞一个
y***y,2015-04-26 12:00 购买,银牌会员,辽宁,,"这本书的内容挺多的,主要的知识点基本上都包括在内,主题基本上是明确的.在内容上循序渐进,深入浅出,有充分的前期铺垫.能够前后照应,印刷清楚.字体和排版也有特点,字体与编排涉及的平面设计元素有：字体、字号的选择，图形的处理，版面的尺寸、色彩等。"
浪***子,2015-04-24 13:53 购买,铜牌会员,山东,来自京东iPhone客户端,还没看呢 先发评论应该不錯
叶***s,2015-04-26 16:31 购买,银牌会员,广东,来自京东Android客户端,经典的版本，看起来不错。
a***3,2015-02-27 14:28 购买,金牌会员,江苏,来自京东Android客户端,经典名著，价格不算太便宜
m***8,2015-04-20 13:41 购买,铜牌会员,山东,来自京东Android客户端,是白话文，总体上不错，纸张不是很好~
j***0,2015-04-20 21:47 购买,钻石会员,北京,,孩子老师推荐的，京东送货超快
番***少,2015-02-25 15:11 购买,钻石会员,广东,,反正我不看的，看书的质量应该还可以的！
j***7,2014-12-24 17:11 购买,钻石会员,上海,来自京东iPhone客户端,MSN咯logo明明MSN
涂***明,2015-04-26 07:51 购买,钻石会员,江西,来自京东Android客户端,其实纸张还是不错的，很是让人喜欢。。
声***禾,2015-04-21 16:19 购买,钻石会员,上海,来自京东iPhone客户端,开始攒书，慢慢积累。
幽***客,2015-04-21 21:54 购买,钻石会员,山东,,不错，搞活动买，物有所值
蜻蛉物语,2015-04-23 08:14 购买,金牌会员,广东,来自京东Android客户端,今年买的第二套了，感觉纸质没有2014年前的好，有点粗糙！
月***罗,2015-03-08 20:35 购买,钻石会员,北京,,正版图书，人民文学出版社
1039568740_m,2015-04-26 11:09 购买,银牌会员,河北,来自京东iPhone客户端,一天就到了，其实在很快。
t***n,2015-04-25 21:44 购买,银牌会员,广东,,外包装还行，还没开始看
j***9,2015-03-28 21:43 购买,金牌会员,四川,,个人觉得挺好的，里面有注解，不怕看不懂
e***o,2014-11-13 17:37 购买,银牌会员,广东,,书不错，不过还没看，懒了
x***3,2015-03-25 12:58 购买,钻石会员,广东,来自京东iPhone客户端,挺好的，非常满意。挺好的，非常满意
hanhan09210,2015-04-24 14:28 购买,银牌会员,湖北,来自京东iPad客户端,没得说，好，正版。
p***2,2015-04-24 17:51 购买,钻石会员,广东,,看了很多遍了，一直没有一个好的版本，趁京东活动收一套。
康春雷,2015-04-24 14:19 购买,金牌会员,北京,来自京东iPad客户端,长度在5-200个字之间 填写您对此商品的使用心得，例如该商品或某功能为您带来的帮助，或使用过程中遇到的问题等。最多可输入200字
j***a,2015-04-25 12:14 购买,金牌会员,广东,,名著还是要恶补下，给自己充电
杀***琪,2015-04-24 21:09 购买,钻石会员,四川,,很好，很给力，是个好货。
牙***儿,2015-04-20 20:44 购买,钻石会员,北京,,红楼梦（套装上下册）红楼梦（套装上下册）
晒太阳的麦子,2015-03-13 22:20 购买,银牌会员,河北,来自京东iPad客户端,老版，喜欢！
k***9,2015-03-20 14:46 购买,银牌会员,云南,,是本好书！是本好书！是本好书！是本好书！
翰***晓,2015-04-23 23:45 购买,银牌会员,广东,,不错不错，很是喜欢哦
h***u,2014-12-20 00:06 购买,银牌会员,浙江,,不错，正版很喜欢啊啊啊啊。
静***1,2015-03-10 21:38 购买,银牌会员,四川,来自京东Android客户端,还不错，只是包装可以再好点吗？
z***n,2015-04-25 07:21 购买,钻石会员,广东,来自京东Android客户端,很不错的版本，厚厚的两本，
H***毅,2015-03-15 11:39 购买,银牌会员,北京,来自京东Android客户端,好～～～～～～～～～～～～～～～～～～～
阿原来我是超人,2015-03-24 23:06 购买,银牌会员,福建,来自京东Android客户端,挺好的一套书。。。。
jd_086065748,2015-04-18 21:08 购买,银牌会员,江苏,来自京东Android客户端,物流快，商品正宗，无损伤，包装不错。
j***1,2014-12-22 10:06 购买,金牌会员,四川,来自京东Android客户端,感觉这个版本还是多好的
d***0,2015-04-24 11:37 购买,金牌会员,北京,来自京东iPhone客户端,经典作品，囤来慢慢欣赏！
n***w,2014-12-02 20:47 购买,钻石会员,北京,来自京东iPhone客户端,书非常的好看，不错。
L***i,2015-04-12 17:53 购买,银牌会员,陕西,来自京东Android客户端,书很好，就是速度慢，回来时书都裂了
j***g,2014-12-02 07:01 购买,银牌会员,安徽,来自京东iPhone客户端,经典。非常好看，看了几遍了。
j***e,2014-11-03 09:28 购买,金牌会员,北京,来自京东iPhone客户端,东西不错，质量好，很值
意***淡,2015-04-23 23:53 购买,银牌会员,山西,来自京东Android客户端,很好，，不一样的感觉
P***t,2014-12-14 19:33 购买,铜牌会员,广东,来自京东Android客户端,看完了，书不错，比书店便宜
_***琳,2014-11-07 12:15 购买,银牌会员,浙江,来自京东Android客户端,书不错，总体挺好的了
海***人,2015-04-24 08:32 购买,银牌会员,北京,,"红楼梦被誉为百科全书,个人觉得身为国人应该看看四大名著"
兲***客,2015-01-22 20:21 购买,钻石会员,江苏,来自京东Android客户端,东西不错哦，性价比高
j***3,2015-02-05 22:26 购买,金牌会员,江苏,来自京东iPhone客户端,是正品，非常好。很满意
L***6,2015-03-24 19:07 购买,银牌会员,河北,来自京东Android客户端,买给妹妹的，书的质量不错~
往明,2015-04-10 00:32 购买,金牌会员,上海,,就是书有点旧啊，感觉不像新的
s***0,2015-04-22 19:52 购买,金牌会员,北京,,东西很好，字迹清楚。
1***2,2015-03-06 22:40 购买,金牌会员,北京,来自京东iPhone客户端,不错！！！！！！！！！！
a***8,2015-01-29 15:50 购买,金牌会员,安徽,,很好，很好，很好，很好，很好，很好，很好，很好，
v***v,2015-04-23 14:28 购买,钻石会员,上海,,包装不错，还没看
j***5,2015-04-08 21:08 购买,银牌会员,广东,来自京东iPhone客户端,还没看 好好好好好好好
可***鼠,2015-04-20 11:35 购买,钻石会员,黑龙江,,便宜，好书，应该不错！
不***1,2015-04-01 13:24 购买,金牌会员,北京,来自京东iPhone客户端,看着还不错，给老弟买的！
木***芍,2014-11-04 15:29 购买,银牌会员,浙江,来自京东iPhone客户端,收藏的…………………………
戊***代,2015-01-10 14:37 购买,金牌会员,北京,来自京东Android客户端,好书，推荐大家阅读。
遇***晶,2015-03-20 23:16 购买,金牌会员,河北,,有注解，这个版本不错，老书看坏了，原来是三册，现在没有了。这个也挺好的。
阳***雪,2015-02-01 20:04 购买,银牌会员,北京,来自京东iPhone客户端,印刷质量挺好的，还会继续选择的！
w***9,2014-12-08 22:55 购买,铜牌会员,湖北,来自京东iPhone客户端,很好很好很好很好很好
jd_sunn317,2015-03-06 09:01 购买,钻石会员,辽宁,来自京东Android客户端,正版值得拥有，满意！
j***0,2015-04-17 22:20 购买,金牌会员,河北,,我们老师建议说。买文学类的就买人民文学出版社的，买历史类的就中华书局的
g***g,2015-04-19 10:10 购买,钻石会员,四川,,红楼梦（套装上下册）不错
彳***曰,2015-01-17 20:22 购买,银牌会员,湖北,来自京东iPhone客户端,一直都想读来着，现在有点时间了，看看吧
j***n,2015-01-15 22:41 购买,金牌会员,四川,,挺不错的。。。挺不错的。。。
大***O,2014-12-19 08:41 购买,银牌会员,北京,来自京东iPhone客户端,之前提起无数次勇气想看完红楼梦，但是最终都搁浅了。这次因为与师傅完成presentation，所以想开始再翻开这本著作。
鞋***子,2015-02-27 19:05 购买,钻石会员,陕西,,非常不错，非常不错。
j***f,2015-03-14 21:36 购买,钻石会员,山西,,《红楼梦》是一部具有高度思想性和高度艺术性的伟大作品，从《红楼梦》反映的思想倾向来看，作者具有初步的民主主义思想，他对现实社会包括宫廷及官场的黑暗，封建贵族阶级及其家庭的腐朽，封建的科举制度、婚姻制度、奴婢制度、等级制度，以及与此相适应的社会统治思想即孔孟之道和程朱理学、社会道德观念等等，都进行了深刻的批判并且提出了朦胧的带有初步民主主义性质的理想和主张。
开***签,2015-04-21 18:28 购买,银牌会员,天津,,书收到了，但是为什么没有发票？
pPkGaxFVzITq,2015-02-17 22:06 购买,银牌会员,北京,来自微信购物,"红楼梦》塑造了众多的人物形象，他们各自具有自己独特而鲜明的个性特征，成为不朽的艺术典型，在中国文学史和世界文学史上永远放射着奇光异彩。
《红楼梦》是一部具有高度思想性和高度艺术性的伟大作品，从《红楼梦》反映的思想倾向来看，作者具有初步的民主主义思想，他对现实社会包括宫廷及官场的黑暗，封建贵族阶"
j***1,2015-04-18 16:36 购买,钻石会员,四川,,经典，值得一看！！！！
A***8,2015-04-19 13:45 购买,银牌会员,吉林,,物流很快 书也不错 就是包装一般 书有个角收到时 破了 但不严重 就不换货了
c***叔,2015-04-16 10:31 购买,金牌会员,四川,,书不错吧 字比较大 两本比较厚
j***0,2015-04-21 20:41 购买,银牌会员,陕西,,书已收到，纸质及印刷都很好，觉得很满意
s***0,2014-10-26 22:14 购买,钻石会员,江苏,来自京东Android客户端,"，因而以其资助人- 奥地利大公阿尔布莱希特六世（Albrecht VI）命名(拉丁文为Albertina)。时为奥地利哈布斯堡王朝继维也纳大学后的第二所大学。初设四大科系：神学、法学、医学和哲学。当时的哲学即包括所谓“五艺”，为所有学生必修科目。
1620年弗莱堡大学成为天主教信仰的一个堡垒，这虽然在开始时引发了人文主义思潮的兴起，但继而便成了科学研究的障碍。18世纪大学因新兴学科的出现在宗教信仰上明确走向自由化。
随着1806年巴登州的建立，大学的存在受到了威胁，因为相对较小的巴登州已经拥有一所重要的大学-鲁普莱希特-卡尔斯-海德堡大学。然而巴登州大公路德维希仍然从1817年起向弗莱堡大学提供稳定的经费并于1820年将此以手书的形式确立下来。这位大公始终认为：两种宗教-天主教与新教应各有一所大学来代表，而海德堡大学深受新教的影响。为此，弗莱堡大学遂更名为阿尔布莱希特-路德维希-弗莱堡大学，以示谢意。"
j***e,2015-04-02 08:35 购买,金牌会员,北京,,多读书，读好书。爱生活，爱自然。
c***j,2015-03-06 19:56 购买,金牌会员,北京,,名家经典，孩子阅读刊物。
f***4,2015-04-02 14:30 购买,铜牌会员,安徽,,多看书，多阅读，有益身心健康~
夏***非,2015-03-01 13:25 购买,铜牌会员,广东,来自京东Android客户端,纸质不错，正版，还有注解，没有错别字
j***9,2015-01-29 11:04 购买,钻石会员,上海,,好好好好好好好好好好好好好好好好好
洪***方,2015-03-20 22:47 购买,钻石会员,北京,来自京东Android客户端,好用，便宜，经常在京东购物
小***米,2015-02-25 13:57 购买,钻石会员,江苏,,物流给力，服务一流，这样的品质你值得拥有
土***养,2015-04-13 21:02 购买,银牌会员,北京,,很喜欢京东的速度，书的质量很好
香***豆,2015-04-19 14:42 购买,钻石会员,北京,来自京东iPhone客户端,孩子学校要求的必读书目，总觉得初一的孩子理解不了
爱丽丝本杰明,2015-04-06 19:49 购买,银牌会员,北京,,商品很好！送货快！质量不错哦！点赞！
j***f,2015-04-18 20:28 购买,银牌会员,北京,来自京东iPhone客户端,中国文化的又一结晶，慢慢品味，研究。
大***空,2015-04-14 22:36 购买,钻石会员,北京,来自京东Android客户端,高中老师让学生买的，大力支持
j***e,2015-03-30 10:07 购买,银牌会员,江苏,来自京东Android客户端,真不错真不错真不错啊！
影***0,2015-03-03 15:51 购买,银牌会员,河北,来自京东Android客户端,给老爸买的书！他说书质量很好绝对正品
p***7,2014-10-25 00:31 购买,银牌会员,新疆,来自京东iPhone客户端,这版的很不错，推荐。
j***o,2015-04-13 10:25 购买,金牌会员,浙江,来自京东iPhone客户端,一直都是京东的忠实粉丝，这次单位购书让我发现了不少问题：1.在线支付收款方和发票开具单位不相符，只能到付，致使部分书籍不能购买；2.专业类书籍有所缺失，部分外文书没有中译本，种类有限；3.以前可以选择送货时间，现在无法做到；4.到货后不让清点物品。但就质量及物流速度、服务态度上，京东仍是我的首选
黄***高,2015-03-12 18:00 购买,钻石会员,江苏,,信赖京东，速度快，不如原版好
j***s,2015-04-19 22:51 购买,银牌会员,广东,来自京东iPhone客户端,看着还行，不过怎么会有错字呢？
鳌***哥,2015-03-09 18:05 购买,钻石会员,陕西,来自京东iPhone客户端,送给老婆看，不过好久了连序言都没看完。
梓***玄,2015-04-14 15:00 购买,钻石会员,上海,来自京东Android客户端,很经典的版本。还是纸质书看起来有感觉
y***y,2015-01-29 12:17 购买,银牌会员,河南,来自京东Android客户端,一本需要反复品读领悟的经典
乐***宝,2014-11-12 22:32 购买,钻石会员,北京,来自京东iPhone客户端,搞活动的时候买的，有空再研读
1***2,2015-04-19 11:31 购买,铜牌会员,河南,来自京东iPhone客户端,特别好，特别好特别好，很不错
宣***的,2014-12-16 00:09 购买,金牌会员,福建,来自京东Android客户端,给小侄女的礼物，小孩喜欢，不错
ohjoon,2015-04-08 18:05 购买,金牌会员,西藏,来自京东iPhone客户端,买给自己的，以前上学的时候没看过原著，现在回味新老两个版本的《红楼梦》，一时又勾起我的兴趣，还不错，字迹清晰，排版也很好，放在床头，每天都先对着电视剧把原著情节熟悉一遍，再回头重看一遍……
c***2,2015-04-13 21:51 购买,钻石会员,天津,来自京东iPhone客户端,感觉还不错，感觉还不错。
Y***o,2015-04-03 21:00 购买,金牌会员,广东,来自京东Android客户端,很好～～可以积累文言文～
逸***筠,2015-02-25 19:53 购买,银牌会员,河北,来自京东Android客户端,送朋友的，感觉很高端啊，他看了好多了
g***2,2015-04-15 10:04 购买,金牌会员,江苏,,书还没看，质量不错，很厚的两本
戎***步,2015-01-01 00:47 购买,钻石会员,北京,来自京东iPhone客户端,这么大人了，竟然没有读过原著，汗啊，经典就是经典
鱼***活,2015-03-09 17:01 购买,金牌会员,北京,来自京东iPhone客户端,买的放心，质量保证，长期看好。
w***y,2015-02-05 23:19 购买,钻石会员,天津,来自京东Android客户端,不错不错，物美价廉，真的很好
暮***霞,2015-04-10 09:09 购买,金牌会员,上海,来自京东Android客户端,我是冲着注释买的，排版我不喜欢
M***n,2015-03-28 20:47 购买,铜牌会员,广东,,京东正版热卖畅销好评最多读者推荐送货快
伦***草,2015-03-15 21:18 购买,金牌会员,北京,来自京东Android客户端,中国古典四大名著之首，曹雪芹呕心沥血，为此一书，必读之书
j***x,2015-03-15 12:59 购买,银牌会员,山东,,书本内容、注释、增补出处较详细，值得买来看。
z***r,2015-04-16 18:49 购买,金牌会员,北京,,四大名著，必须要读.
g***i,2014-12-09 16:42 购买,金牌会员,天津,来自京东Android客户端,很好 正版 值得购买
j***5,2015-01-03 22:57 购买,钻石会员,上海,来自京东Android客户端,大爱.........
j***t,2015-04-15 10:18 购买,铜牌会员,浙江,来自京东Android客户端,书很好，质感也不错，看的蛮开心，
欢***童,2015-04-10 19:12 购买,钻石会员,重庆,来自京东Android客户端,买的就是这种带解释的 很不错
w***d,2014-11-29 16:00 购买,金牌会员,北京,来自京东iPhone客户端,好看好看好看好看好看
我***花,2015-04-05 17:19 购买,银牌会员,河北,,看着象正版书，就是装帧不够美观。
t***o,2015-03-15 21:11 购买,金牌会员,北京,来自京东Android客户端,很好 很完整 值得买
请***i,2015-04-14 16:23 购买,钻石会员,吉林,,好好好好好好好好好好好好好好好好
l***o,2015-02-09 19:55 购买,铜牌会员,河北,来自京东Android客户端,不错，帮邻居买的，很满意
j***来,2015-03-29 17:55 购买,金牌会员,黑龙江,来自京东Android客户端,一直想买，打算收藏着，没事就看看
区***佐,2015-03-23 12:53 购买,金牌会员,广东,来自京东Android客户端,长姿势必备，本本质量很好
青***山,2015-04-13 23:05 购买,铜牌会员,内蒙古,,包装及其差！！书都给碰坏了。而且不止这次，经常性的。差评！！！！
j***0,2015-04-15 22:30 购买,钻石会员,重庆,来自京东iPhone客户端,不知道写什么评价了凑数吧
j***2,2015-03-07 16:45 购买,银牌会员,河北,,书非常好，订单到货很及时，送货快。
m***l,2015-03-24 09:55 购买,金牌会员,福建,来自京东iPhone客户端,非常好，孩子读书很适合
春天桃花开,2015-02-12 09:26 购买,钻石会员,北京,,买了两套了 ，一套珍藏版，这套方便阅读
j***5,2015-04-13 22:12 购买,银牌会员,江苏,来自京东iPhone客户端,书不错 应该是正版 字体清晰
q***u,2015-02-11 10:04 购买,钻石会员,重庆,来自京东iPhone客户端,很不错。我很喜欢。看起来很好
j***7,2015-03-01 18:22 购买,钻石会员,江苏,来自京东Android客户端,有点太学术，没心思看了！
b***r,2015-02-07 20:14 购买,钻石会员,广东,来自京东Android客户端,产品的性价比还是很高的，速度也不错。
c***0,2014-10-29 16:10 购买,钻石会员,广西,来自京东iPhone客户端,经典书籍值得阅读…不错
郑***芳,2014-12-29 19:01 购买,钻石会员,北京,来自京东iPhone客户端,给女儿买的
X***v,2015-04-15 13:41 购买,银牌会员,吉林,来自京东Android客户端,第一次京东差评你们自己看图
农***城,2015-03-21 01:49 购买,钻石会员,广东,来自京东Android客户端,不错！……………………
w***2,2015-04-14 12:33 购买,银牌会员,四川,,东西满意，快递满意，还会购买。
c***g,2015-04-08 17:03 购买,金牌会员,北京,,看着不错字很清晰 物有所值
v***u,2015-02-06 13:13 购买,银牌会员,北京,来自京东iPhone客户端,很不错，值得一看！！！
喝***脑,2015-03-13 19:13 购买,钻石会员,北京,来自京东iPhone客户端,周汝昌先生建议读庚辰本红楼梦。印刷还是不错的，纸质书读者不累。
a***i,2015-01-23 20:19 购买,金牌会员,上海,,京东正版，好好好........
